Genome	Accession	Taxonomy_ID	Length (nt)	Lenght (Kb)	 Protein	 RNA	Created	Updated	Grupo	Familia	# acceso descargados
    Pelophylax shqipericus isolate GM1013 / Albanian pool frog	NC_026896	44326	17366	17.366	13	24	4/22/15	6/2/15	Anura	Ranidae	NC_026896
    Pipa carvalhoi / Carvalho's Surinam toad	NC_015617	191480	19534	19.534	13	24	6/1/11	6/2/11	Anura	Pipidae	NC_015617
    Platymantis vitianus / Fiji ground frog	NC_027671	1582976	17106	17.106	13	25	8/4/15	8/17/15	Anura	Ceratobatrachidae	NC_027671
    Polypedates megacephalus / Hong Kong whipping frog	NC_006408	864177	16473	16.473	11	24	11/9/04	3/26/07	Anura	Rhacophoridae	# acceso obsoleto
    Pseudhymenochirus merlini / Merlin's clawed frog	NC_015618	120502	18029	18.029	13	24	6/1/11	6/2/11	Anura	Pipidae	NC_015618
    Quasipaa boulengeri / spiny-bellied frog	NC_021937	109965	17741	17.741	13	25	8/6/13	4/30/14	Anura	Dicroglossidae	NC_021937
    Quasipaa spinosa / Chinese spiny frog	NC_013270	342822	18012	18.012	13	25	9/30/09	1/6/11	Anura	Dicroglossidae	NC_013270
    Quasipaa yei voucher HNNU0908I061 / Ye's spiny-vented frog	NC_024843	8400	17072	17.072	13	25	9/17/14	10/16/14	Anura	Dicroglossidae	NC_024843
    Rana catesbeiana / American bullfrog	NC_022696	1457152	18241	18.241	13	24	11/3/13	12/18/13	Anura	Ranidae	NC_022696
    Rana cf. chensinensis QYCRCCH_C	NC_023529	290503	18808	18.808	13	24	2/28/14	4/16/14	Anura	Ranidae	NC_023529
    Rana draytonii voucher LodgeLab Rdraytonii_1 / California red-legged frog	NC_028296	71582	17805	17.805	13	24	11/5/15	11/17/15	Anura	Ranidae	NC_028296
    Rana dybowskii	NC_023528	113383	18864	18.864	13	24	2/28/14	4/9/14	Anura	Ranidae	NC_023528
    Rana huanrensis voucher y-d20130058 / Huanren brown frog	NC_028521	310659	19253	19.253	13	24	12/3/15	12/7/15	Anura	Ranidae	NC_028521
    Rana ishikawae / Ishikawa's frog	NC_015305	359667	21020	21.02	13	24	3/25/11	3/29/11	Anura	Ranidae	NC_015305
    Rana kunyuensis	NC_024548	8409	22255	22.255	13	24	7/28/14	8/28/14	Anura	Ranidae	NC_024548
    Rana nigromaculata / dark-spotted frog	NC_002805	190275	17804	17.804	13	24	6/2/01	12/14/07	Anura	Ranidae	NC_002805
    Rana okaloosae voucher LodgeLab Rokaloosae_1 / Florida bog frog	NC_028283	109178	17504	17.504	13	24	11/5/15	11/17/15	Anura	Ranidae	NC_028283
    Rana plancyi / gold-spotted pond frog	NC_009264	45438	17822	17.822	13	24	3/30/07	4/3/07	Anura	Ranidae	NC_009264
    Rana sylvatica / wood frog	NC_027236	143444	17343	17.343	13	24	6/18/15	6/24/15	Anura	Ranidae	NC_027236
    Rhacophorus dennysi / Blanford's whipping frog	NC_027452	210202	18052	18.052	13	24	7/14/15	7/27/15	Anura	Rhacophoridae	NC_027452
    Rhacophorus schlegelii / Japanese gliding frog	NC_007178	288794	21359	21.359	13	24	7/6/05	2/1/10	Anura	Rhacophoridae	NC_007178
    Telmatobius bolivianus	NC_020002	93483	19295	19.295	13	24	12/31/12	1/22/13	Anura	Ceratophryidae	NC_020002
    Telmatobufo australis	NC_027274	111096	17989	17.989	13	24	6/18/15	6/24/15	Anura	Calyptocephalellidae	NC_027274
    Trichobatrachus robustus mitochondrial DNA	NC_023382	8364	21418	21.418	13	24	1/23/14	2/27/14	Anura	Arthroleptidae	NC_023382
    Xenopus (Silurana) tropicalis / tropical clawed frog	NC_006839	8354	17610	17.61	13	24	2/4/05	5/7/09	Anura	Pipidae	NC_006839
    Xenopus borealis / Kenyan clawed frog	NC_018776	8355	17474	17.474	13	24	10/12/12	10/14/12	Anura	Pipidae	NC_018776
    Xenopus laevis / African clawed frog	NC_001573	282260	17553	17.553	13	24	8/24/99	2/1/10	Anura	Pipidae	NC_001573
    Ambystoma andersoni / Anderson's salamander	NC_006888	238860	16370	16.37	13	24	4/2/05	2/1/10	 Caudata	Ambystomatidae	NC_006888
    Ambystoma barbouri / streamside salamander	NC_014568	511044	16365	16.365	13	24	10/15/10	10/20/10	 Caudata	Ambystomatidae	NC_014568
    Ambystoma bishopi / reticulated salamander	NC_027501	43107	16361	16.361	13	24	7/14/15	7/27/15	 Caudata	Ambystomatidae	NC_027501
    Ambystoma californiense / California tiger salamander	NC_006890	282261	16374	16.374	13	24	4/2/05	2/1/10	 Caudata	Ambystomatidae	NC_006890
    Ambystoma dumerilii / Lake Patzcuaro salamander	NC_006889	8298	16370	16.37	13	24	4/2/05	2/1/10	 Caudata	Ambystomatidae	NC_006889
    Ambystoma laterale / blue-spotted salamander	NC_006330	8296	16367	16.367	13	24	10/1/04	2/1/10	 Caudata	Ambystomatidae	NC_006330
    Ambystoma mexicanum / axolotl	NC_005797	8304	16369	16.369	13	24	3/15/04	2/1/10	 Caudata	Ambystomatidae	NC_005797
    Ambystoma texanum / smallmouth salamander	NC_014571	43116	16367	16.367	13	24	10/15/10	10/20/10	 Caudata	Ambystomatidae	NC_014571
    Ambystoma tigrinum tigrinum / Eastern tiger salamander	NC_006887	436160	16375	16.375	13	24	4/2/05	2/1/10	 Caudata	Ambystomatidae	NC_006887
    Ambystoma unisexual lineage LJJJ	NC_014572	141262	16367	16.367	13	24	10/15/10	10/21/10	 Caudata	Ambystomatidae	NC_014572
    Andrias davidianus / Chinese giant salamander	NC_004926	166789	16503	16.503	13	24	7/7/03	2/1/10	 Caudata	Cryptobranchidae	NC_004926
    Andrias japonicus / Japanese giant salamander	NC_007446	154579	16298	16.298	13	24	10/5/05	2/1/10	 Caudata	Cryptobranchidae	NC_007446
    Aneides flavipunctatus / black salamander	NC_006327	154580	20197	20.197	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006327
    Aneides hardii / Sacramento mountain salamander	NC_006338	159185	22184	22.184	13	27	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006338
    Batrachoseps attenuatus / California slender salamander	NC_006340	458151	17559	17.559	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006340
    Batrachoseps nigriventris / black-bellied slender salamander	NC_028184	57547	17403	17.403	13	26	11/1/15	11/17/15	 Caudata	Plethodontidae	NC_028184
    Batrachoseps wrightorum / Oregon slender salamander	NC_006333	363225	19789	19.789	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006333
    Batrachuperus gorganensis / Gorgan mountain salamander	NC_008091	156987	16374	16.374	13	24	6/7/06	6/15/06	 Caudata	Hynobiidae	NC_008091
    Batrachuperus londongensis / Longdong stream salamander	NC_008077	324332	16379	16.379	13	24	6/6/06	6/8/06	 Caudata	Hynobiidae	NC_008077
    Batrachuperus mustersi / Paghman mountain salamander	NC_008090	156988	16383	16.383	13	24	6/14/06	6/16/06	 Caudata	Hynobiidae	NC_008090
    Batrachuperus pinchonii / Western Chinese mountain salamander	NC_008083	156989	16390	16.39	13	24	6/6/06	6/8/06	 Caudata	Hynobiidae	NC_008083
    Batrachuperus tibetanus / Tibetan mountain salamander	NC_008085	156990	16379	16.379	13	24	6/7/06	6/8/06	 Caudata	Hynobiidae	NC_008085
    Batrachuperus yenyuanensis / Yenyuan stream salamander	NC_012430	291262	16394	16.394	13	24	3/25/09	4/13/09	 Caudata	Hynobiidae	NC_012430
    Bolitoglossa n. sp. RLM-2004	NC_006346	52100	21657	21.657	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006346
    Desmognathus fuscus / dusky salamander	NC_006339	52108	16628	16.628	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006339
    Desmognathus wrighti / pygmy salamander	NC_006337	385653	16578	16.578	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006337
    Echinotriton andersoni / Ryukyu spiny newt	NC_017870	57550	16268	16.268	13	24	5/9/12	2/28/14	 Caudata	Salamandridae	NC_017870
    Ensatina eschscholtzii / common Ensatina	NC_006328	134758	22816	22.816	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006328
    Eurycea bislineata / two-lined salamander	NC_006329	505961	17184	17.184	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006329
    Gyrinophilus palleucus voucher LodgeLab Gpalleucus_1 / Tennessee cave salamander	NC_028297	134760	16737	16.737	13	24	11/5/15	11/17/15	 Caudata	Plethodontidae	NC_028297
    Gyrinophilus porphyriticus / spring salamander	NC_006341	291265	16778	16.778	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006341
    Hemidactylium scutatum / four-toed salamander	NC_006342	57553	17421	17.421	13	24	10/1/04	2/2/10	 Caudata	Plethodontidae	NC_006342
    Hydromantes brunus / limestone salamander	NC_006345	244216	17220	17.22	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006345
    Hynobius amjiensis / Amji salamander	NC_008076	391643	16401	16.401	13	24	6/6/06	6/8/06	 Caudata	Hynobiidae	NC_008076
    Hynobius arisanensis / Arisan salamander	NC_009335	288313	16401	16.401	13	24	4/4/07	5/3/07	 Caudata	Hynobiidae	NC_009335
    Hynobius chinensis / Chinese salamander	NC_008088	284022	16408	16.408	13	24	6/7/06	6/16/06	 Caudata	Hynobiidae	NC_008088
    Hynobius formosanus / Formosan salamander	NC_008084	412855	16394	16.394	13	24	6/6/06	3/9/07	 Caudata	Hynobiidae	NC_008084
    Hynobius guabangshanensis	NC_013762	252291	16408	16.408	13	24	1/27/10	2/24/10	 Caudata	Hynobiidae	NC_013762
    Hynobius kimurae voucher CIB-XM3136	NC_026032	113391	16448	16.448	13	24	1/10/15	2/4/15	 Caudata	Hynobiidae	NC_026032
    Hynobius leechii / Gensan salamander	NC_008079	429345	16428	16.428	13	24	6/6/06	6/8/06	 Caudata	Hynobiidae	NC_008079
    Hynobius maoershanensis	NC_023789	294368	16412	16.412	13	24	3/13/14	3/13/14	 Caudata	Hynobiidae	NC_023789
    Hynobius nebulosus voucher CIB-XM3140	NC_020650	324339	16447	16.447	13	24	3/25/13	4/18/13	 Caudata	Hynobiidae	NC_020650
    Hynobius nigrescens voucher CIB-XM3142 / Sendai salamander	NC_026033	113393	16412	16.412	13	24	1/10/15	2/4/15	 Caudata	Hynobiidae	NC_026033
    Hynobius quelpaertensis / Cheju salamander	NC_010224	586894	16407	16.407	13	24	1/3/08	1/6/11	 Caudata	Hynobiidae	NC_010224
    Hynobius yangi / Kori salamander	NC_013825	244217	16424	16.424	13	24	2/16/10	2/24/10	 Caudata	Hynobiidae	NC_013825
    Hynobius yiwuensis voucher CIB-XM2843	NC_020649	156992	16494	16.494	13	24	3/25/13	4/18/13	 Caudata	Hynobiidae	NC_020649
    Liua shihi / Wushan salamander	NC_008078	245147	16376	16.376	13	24	6/6/06	6/8/06	 Caudata	Hynobiidae	NC_008078
    Liua tsinpaensis / Tsinpa salamander	NC_008081	297010	16380	16.38	13	24	6/6/06	1/6/11	 Caudata	Hynobiidae	NC_008081
    Lyciasalamandra atifi	NC_002756	324346	16650	16.65	13	24	4/28/01	10/12/12	 Caudata	Salamandridae	NC_002756
    Necturus beyeri / Gulf Coast waterdog	NC_023341	168684	16284	16.284	13	24	1/23/14	2/27/14	 Caudata	Proteidae	NC_023341
    Notophthalmus perstriatus voucher LodgeLab Nperstriatus_8 / striped newt	NC_028278	107992	16336	16.336	13	24	11/5/15	11/17/15	 Caudata	Salamandridae	NC_028278
    Oedipina poelzi / quarry worm salamander	NC_006326	113382	16731	16.731	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006326
    Onychodactylus fischeri / Fischer's clawed salamander	NC_008089	1248183	16456	16.456	13	24	6/7/06	6/16/06	 Caudata	Hynobiidae	NC_008089
    Onychodactylus zhangyapingi	NC_026853	1248184	16537	16.537	13	24	4/22/15	6/2/15	 Caudata	Hynobiidae	NC_026853
    Onychodactylus zhaoermii	NC_026854	288317	16533	16.533	13	24	4/22/15	6/2/15	 Caudata	Hynobiidae	NC_026854
    Pachyhynobius shangchengensis / Shangcheng stout salamander	NC_008080	1042256	16394	16.394	13	24	6/6/06	6/8/06	 Caudata	Hynobiidae	NC_008080
    Pachytriton feii	NC_029345	164972	16293	16.293	13	24	3/1/16	3/1/16	 Caudata	Salamandridae	NC_029345
    Paramesotriton hongkongensis / Hong Kong warty newt	NC_006407	52110	16285	16.285	13	24	11/9/04	2/1/10	 Caudata	Salamandridae	NC_006407
    Phaeognathus hubrichti / Red Hills salamander	NC_006344	141976	16294	16.294	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006344
    Plethodon cinereus / red-backed salamander	NC_006343	46761	20001	20.001	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006343
    Plethodon elongatus / Del Norte salamander	NC_006335	154587	18767	18.767	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006335
    Plethodon petraeus / Pigeon Mountain salamander	NC_006334	221568	19235	19.235	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006334
    Proteus anguinus / olm	NC_023342	157107	16584	16.584	13	24	1/23/14	2/27/14	 Caudata	Proteidae	NC_023342
    Pseudohynobius flavomaculatus voucher CIB-XM2084 / yellow-spotted salamander	NC_020635	1075769	16389	16.389	13	24	3/25/13	4/18/13	 Caudata	Hynobiidae	NC_020635
    Pseudohynobius jinfo voucher SWU-AMP-140715001	NC_026698	581055	16393	16.393	13	24	3/17/15	4/22/15	 Caudata	Hynobiidae	NC_026698
    Pseudohynobius puxiongensis / Puxiong's protohynobiid	NC_020634	365029	16398	16.398	13	24	4/4/13	4/18/13	 Caudata	Hynobiidae	NC_020634
    Pseudohynobius shuichengensis voucher CIB-XM2855	NC_021001	134762	16394	16.394	13	24	2/12/16	2/13/16	 Caudata	Hynobiidae	NC_021001
    Pseudotriton ruber / red salamander	NC_006332	113097	16661	16.661	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006332
    Ranodon sibiricus / Siberian salamander	NC_004021	291264	16418	16.418	13	24	6/8/02	2/1/10	 Caudata	Hynobiidae	NC_004021
    Rhyacotriton variegatus / southern torrent salamander	NC_006331	288315	21606	21.606	13	25	10/1/04	2/1/10	 Caudata	Rhyacotritonidae	NC_006331
    Salamandrella keyserlingii / Siberian salamander	NC_008082	476251	16338	16.338	13	24	6/6/06	6/8/06	 Caudata	Hynobiidae	NC_008082
    Salamandrella tridactyla isolate SS77 / Schrenck's Siberian newt	NC_021106	291263	16342	16.342	13	24	4/23/13	6/26/13	 Caudata	Hynobiidae	NC_021106
    Stereochilus marginatus / many-lined salamander	NC_006325	291261	19631	19.631	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006325
    Thorius n. sp. RLM-2004	NC_006336	8326	19097	19.097	13	24	10/1/04	2/1/10	 Caudata	Plethodontidae	NC_006336
    Triturus carnifex / Italian crested newt	NC_015788	8323	16560	16.56	13	24	7/14/11	7/18/11	 Caudata	Salamandridae	NC_015788
    Triturus cristatus / warty newt	NC_015790	8327	16564	16.564	13	24	7/14/11	7/20/11	 Caudata	Salamandridae	NC_015790
    Triturus dobrogicus / Danube newt	NC_015791	8325	16425	16.425	13	24	7/14/11	7/18/11	 Caudata	Salamandridae	NC_015791
    Triturus karelinii / Balkan newt	NC_015792	385668	16541	16.541	13	24	7/14/11	7/18/11	 Caudata	Salamandridae	NC_015792
    Triturus macedonicus / Macedonian crested newt	NC_015794	8328	16569	16.569	13	24	7/14/11	7/18/11	 Caudata	Salamandridae	NC_015794
    Triturus marmoratus / marbled newt	NC_015795	171367	16546	16.546	13	24	7/14/11	8/1/11	 Caudata	Salamandridae	NC_015795
    Triturus pygmaeus / southern marbled newt	NC_015796	385676	16442	16.442	13	24	7/14/11	7/18/11	 Caudata	Salamandridae	NC_015796
    Tylototriton kweichowensis / red-tailed knobby newt	NC_029231	356254	16727	16.727	13	24	2/12/16	3/2/16	 Caudata	Salamandridae	NC_029231
    Tylototriton shanjing	NC_027505	129885	16661	16.661	13	24	7/14/15	7/27/15	 Caudata	Salamandridae	NC_027505
    Tylototriton taliangensis / Taliang knobby newt	NC_027421	164973	16265	16.265	13	24	6/24/15	7/13/15	 Caudata	Salamandridae	NC_027421
    Tylototriton verrucosus / crocodile newt	NC_017871	385678	17100	17.1	13	25	5/9/12	2/28/14	 Caudata	Salamandridae	NC_017871
    Tylototriton wenxianensis / Wenxian knobby newt	NC_027507	260983	16265	16.265	13	24	7/14/15	7/27/15	 Caudata	Salamandridae	NC_027507
    Boulengerula boulengeri / Usambara bluish-gray caecilian	NC_020136	102246	15973	15.973	13	24	1/17/13	5/3/13	Gymnophiona	Herpelidae	NC_020136
    Boulengerula taitana / Taita Mountains caecilian	NC_020154	1415575	16587	16.587	13	25	1/18/13	5/3/13	Gymnophiona	Herpelidae	NC_020154
    Caecilia gracilis	NC_023508	356198	16209	16.209	13	24	2/28/14	4/16/14	Gymnophiona	Caeciliidae	NC_023508
